Image,Class,Method,Deletion AUC,Insertion AUC
88,churros,Grad-CAM++,0.42684851853642614,0.8949450002331287
88,churros,Score-CAM,0.4295371029339732,0.9164589648135008
88,churros,Ablation-CAM,0.42473680508788675,0.8982498189993202
89,churros,Grad-CAM,0.027059127911925315,0.05587443130556494
89,churros,Grad-CAM++,0.04259758746251464,0.04308876635041088
89,churros,Score-CAM,0.0391192799480632,0.04120694160927088
89,churros,Ablation-CAM,0.058610220733098684,0.028867637193761765
90,churros,Grad-CAM,0.5543987624114379,0.845922437189147
90,churros,Grad-CAM++,0.5644551493320614,0.8476173590030519
90,churros,Score-CAM,0.5672535769036041,0.8256544273067266
90,churros,Ablation-CAM,0.5678944676229731,0.8546505221445115
91,churros,Grad-CAM,0.3991638819780201,0.7411423149332403
91,churros,Grad-CAM++,0.3730433566262945,0.7268850039876995
91,churros,Score-CAM,0.49616692966781556,0.7511952328588813
91,churros,Ablation-CAM,0.4503516246285289,0.755399289019406
92,churros,Grad-CAM,0.6213542290776968,0.9266905956156551
92,churros,Grad-CAM++,0.6292317438358441,0.92753374456428
92,churros,Score-CAM,0.6171943715121597,0.929866150310263
92,churros,Ablation-CAM,0.617911069188267,0.9260363909229635
93,churros,Grad-CAM,0.2596544250519946,0.3989868875639513
93,churros,Grad-CAM++,0.31457831303589046,0.373602737779729
93,churros,Score-CAM,0.32172355209011594,0.4134340210072696
93,churros,Ablation-CAM,0.3103370137000457,0.361764542418532
94,churros,Grad-CAM,0.38930579253006725,0.8576311027072371
94,churros,Grad-CAM++,0.42311230300460007,0.8634364011697471
94,churros,Score-CAM,0.4042028980236501,0.8748375989031045
94,churros,Ablation-CAM,0.4233871978661045,0.8604750590771435
95,churros,Grad-CAM,0.02581635090522468,0.38567666416056445
95,churros,Grad-CAM++,0.02983565605245531,0.2369407373666764
95,churros,Score-CAM,0.048172102603130026,0.21057488664984703
95,churros,Ablation-CAM,0.20426796747837217,0.07407320899888875
96,churros,Grad-CAM,0.0572507101111114,0.8157556870486588
96,churros,Grad-CAM++,0.13743676861748103,0.371438862895593
96,churros,Score-CAM,0.06540732301305979,0.5690473272837697
96,churros,Ablation-CAM,0.04824710511136801,0.6351969550829383
97,churros,Grad-CAM,0.31711572452913966,0.8565441721957178
97,churros,Grad-CAM++,0.32312502738554033,0.8522756227757781
97,churros,Score-CAM,0.29073666952084753,0.8589537839591505
97,churros,Ablation-CAM,0.32197844748385246,0.8480916382092983
98,churros,Grad-CAM,0.03320589248090982,0.5274360819486902
98,churros,Grad-CAM++,0.05090907496865838,0.46909461842384187
98,churros,Score-CAM,0.05455537694972008,0.47765055188909167
98,churros,Ablation-CAM,0.03863396052736789,0.4893702842062339
99,churros,Grad-CAM,0.3347627020580694,0.8482045115251095
99,churros,Grad-CAM++,0.3454607827309519,0.8408855198323727
99,churros,Score-CAM,0.344683488192968,0.837514407467097
99,churros,Ablation-CAM,0.3677384107653052,0.8304905243963002
